"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"技術者倫理(16T以降)","赤﨑　寿樹","天野　良彦","T0001320","後期（随時）","金曜･６時限","1","NULL","学部３～４年生"
"量子物理(16T以降)","衣川　智弥","NULL","T0002200","前期","火曜･５時限","2","工C3-102教室","NULL"
"宇宙思考(23T以降)","藤田　あき美","NULL","T0003200","前期","月曜･５時限","2","工W2-101教室","NULL"
"経営工学(16T以降)","松岡　浩仁","NULL","T0004400","前期","水曜･２時限","2","工C3-200教室","全学科　学部2～4年生"
"現代技術論(16T以降)","高田　圭 他","大久保　篤史 和﨑　克己","T0005400","後期","火曜･５時限","2","工C3-101教室","工学部3年生～4年生対象"
"特許実務概論(16T以降)","岡村　隆志","傳田　正彦 和﨑　克己","T0006300","前期","金曜･４時限","2","工C3-100教室","2～4年生"
"環境マネジメントシステム(16T以降)","谷口　幸弘 他","樽田　誠一","T0007300","前期(集中)","集中･不定期","2","NULL","NULL"
"地域環境演習Ⅰ(16T以降)","榊　和彦 他","錦織　広昌 高村　秀紀","T0008200","通年(集中)","集中･不定期","1","NULL","工学部全学科２年生～4年生"
"地域環境演習Ⅱ(16T以降)","榊　和彦 他","錦織　広昌 高村　秀紀","T0009200","通年(集中)","集中･不定期","1","NULL","工学部全学科２年生～4年生"
"ボランティア特別実習Ⅰ(16T以降)","影島　洋介","水野　正浩","T0013200","通年(集中)","集中･不定期","1","NULL","【当該学科】１年次～４年次"
"ボランティア特別実習Ⅰ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T0013201","通年(集中)","集中･不定期","1","NULL","電子情報システム工学科２～４年生"
"ボランティア特別実習Ⅰ(16T以降)","髙瀨　達夫","小山　茂","T0013202","通年(集中)","集中･不定期","1","NULL","NULL"
"ボランティア特別実習Ⅰ(16T以降)","吉田　尚史","鈴木　康祐","T0013203","通年(集中)","集中･不定期","1","NULL","機械システム工学科１～４年生"
"ボランティア特別実習Ⅰ(16T以降)","梅干野　成央","諏訪田　晴彦","T0013204","通年(集中)","集中･不定期","1","NULL","NULL"
"ボランティア特別実習Ⅱ(16T以降)","影島　洋介","水野　正浩","T0014200","通年(集中)","集中･不定期","1","NULL","【当該学科】１年次～４年次"
"ボランティア特別実習Ⅱ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T0014201","通年(集中)","集中･不定期","1","NULL","電子情報システム工学科２～４年生"
"ボランティア特別実習Ⅱ(16T以降)","髙瀨　達夫","小山　茂","T0014202","通年(集中)","集中･不定期","1","NULL","NULL"
"ボランティア特別実習Ⅱ(16T以降)","吉田　尚史","鈴木　康祐","T0014203","通年(集中)","集中･不定期","1","NULL","機械システム工学科１～４年生"
"ボランティア特別実習Ⅱ(16T以降)","梅干野　成央","諏訪田　晴彦","T0014204","通年(集中)","集中･不定期","1","NULL","NULL"
"航空機システム概論(16T以降)","曽根原　誠","NULL","T0015300","通年(集中)","集中･不定期","2","NULL","工学部２～４年生"
"English for Engineering","板倉　ひろこ","NULL","T0016300","前期","月曜･５時限","2","工C3-202教室","学部３～４年生"
"先端産業論（エプソン工学）","是津　信行","NULL","T0031200","後期","月曜･２時限","1","工C3-200教室","工学部 全学科 3, 4 年生"
